date,id,tweet
2020-02-04T18:27:24.000Z,1224761386695262211,"@PeopleOfUK The ridges on the the one on the right match the packaging on this one, so I'm guessing the Chinese shop one is on the left. https://t.co/tiY0S4BgI1",
2020-02-04T18:24:33.000Z,1224760671423942656,"I was made redundant from Japan Tobacco (JTi) in December after almost 20 years, I’m now actively looking for a new opportunity, please get in touch if you know of anything suitable please - thank you",
2020-02-04T18:24:25.000Z,1224760637068320768,"The classic glass bottle of Magic Ink 🎉
#マジックインキ #黒色 #油性マーカー #日本を代表 
#Montanacolors #magicink #japan #mtnnottingham11years #montanashopnottingham #mtncoloursuk #mtnuk #mtnnottingham #spraypaintart #spray #paints… https://t.co/vpSA0Pb2C6",
2020-02-04T18:20:52.000Z,1224759743404740608,"@ToasterSpace Chinese.

Sweet n sour chicken balls (or prawn)
Crispy chilli beef
Honey roast pork
Crispy duck pancakes
Chicken satay
Seaweed
Prawn toast
Special fried rice

Have the remains for breakfast",
2020-02-04T18:19:59.000Z,1224759519470915584,A great new role. #Indonesia #HR #Hospitality @hotelierindo https://t.co/He3okkzofN,
2020-02-04T18:19:09.000Z,1224759310997184514,@amandakhurley @ArchRecord Do not let Trump anywhere near aesthetic design.    This is a Victorian Scots Baronial House belong to Trump in Aberdeenshire.   Note the addition of a reconstituted stone Chinese style fountain in front of it. https://t.co/AVHyKk4Bu8,
2020-02-04T18:17:12.000Z,1224758821698068480,💾 ⓈⓀⓎ ⓉⒺⒸⒽ Iran and Israel suspected of exploiting Twitter security flaw - https://t.co/0scWK97ZTy,
2020-02-04T18:10:16.000Z,1224757075416358912,"@rdgmartin Hi David, great news about your daughter, I wondered if you could drop me a message please? I’m trying to speak to anyone over in China at the moment. All the best, Liam",
2020-02-04T18:09:42.000Z,1224756932709404674,"@winchester_book He reckoned it'd double the cost of the product to trade which meant less outlets would buy it. I know lots of Tesco chicken comes from Thailand. I wish I knew the answer, it just seems crazy that we export the meat we produce then import meat to eat!",
2020-02-04T18:09:35.000Z,1224756905010176003,Chinese Valentines day https://t.co/LnKeikieyA,
