date	tweetCount
2020-03-25 00:00:00+00:00	660
2020-03-26 00:00:00+00:00	805
2020-03-27 00:00:00+00:00	727
2020-03-28 00:00:00+00:00	727
2020-03-29 00:00:00+00:00	1064
2020-03-30 00:00:00+00:00	874
2020-03-31 00:00:00+00:00	820
2020-04-01 00:00:00+00:00	884
2020-04-02 00:00:00+00:00	837
2020-04-03 00:00:00+00:00	770
2020-04-04 00:00:00+00:00	826
2020-04-05 00:00:00+00:00	725
2020-04-06 00:00:00+00:00	604
2020-04-07 00:00:00+00:00	689
2020-04-08 00:00:00+00:00	754
2020-04-09 00:00:00+00:00	652
2020-04-10 00:00:00+00:00	738
2020-04-11 00:00:00+00:00	786
2020-04-12 00:00:00+00:00	744
2020-04-13 00:00:00+00:00	785
2020-04-14 00:00:00+00:00	755
2020-04-15 00:00:00+00:00	866
2020-04-16 00:00:00+00:00	684
2020-04-17 00:00:00+00:00	922
2020-04-18 00:00:00+00:00	823
2020-04-19 00:00:00+00:00	900
2020-04-20 00:00:00+00:00	626
2020-04-21 00:00:00+00:00	662
2020-04-22 00:00:00+00:00	594
2020-04-23 00:00:00+00:00	570
2020-04-24 00:00:00+00:00	493
2020-04-25 00:00:00+00:00	611
2020-04-26 00:00:00+00:00	607
2020-04-27 00:00:00+00:00	490
2020-04-28 00:00:00+00:00	634
2020-04-29 00:00:00+00:00	555
2020-04-30 00:00:00+00:00	602
2020-05-01 00:00:00+00:00	678
2020-05-02 00:00:00+00:00	635
2020-05-03 00:00:00+00:00	571
2020-05-04 00:00:00+00:00	455
2020-05-05 00:00:00+00:00	582
2020-05-06 00:00:00+00:00	565
2020-05-07 00:00:00+00:00	611
2020-05-08 00:00:00+00:00	669
2020-05-09 00:00:00+00:00	581
2020-05-10 00:00:00+00:00	513
2020-05-11 00:00:00+00:00	552
2020-05-12 00:00:00+00:00	600
2020-05-13 00:00:00+00:00	597
2020-05-14 00:00:00+00:00	542
2020-05-15 00:00:00+00:00	510
2020-05-16 00:00:00+00:00	535
2020-05-17 00:00:00+00:00	532
2020-05-18 00:00:00+00:00	441
2020-05-19 00:00:00+00:00	531
2020-05-20 00:00:00+00:00	507
2020-05-21 00:00:00+00:00	455
2020-05-22 00:00:00+00:00	529
2020-05-23 00:00:00+00:00	470
2020-05-24 00:00:00+00:00	501
2020-05-25 00:00:00+00:00	462
2020-05-26 00:00:00+00:00	457
2020-05-27 00:00:00+00:00	557
2020-05-28 00:00:00+00:00	639
2020-05-29 00:00:00+00:00	702
2020-05-30 00:00:00+00:00	549
2020-05-31 00:00:00+00:00	445
2020-06-01 00:00:00+00:00	434
2020-06-02 00:00:00+00:00	481
2020-06-03 00:00:00+00:00	577
2020-06-04 00:00:00+00:00	468
2020-06-05 00:00:00+00:00	505
2020-06-06 00:00:00+00:00	538
2020-06-07 00:00:00+00:00	482
2020-06-08 00:00:00+00:00	494
2020-06-09 00:00:00+00:00	520
2020-06-10 00:00:00+00:00	477
2020-06-11 00:00:00+00:00	499
2020-06-12 00:00:00+00:00	481
2020-06-13 00:00:00+00:00	450
2020-06-14 00:00:00+00:00	400
2020-06-15 00:00:00+00:00	384
2020-06-16 00:00:00+00:00	583
2020-06-17 00:00:00+00:00	497
2020-06-18 00:00:00+00:00	524
2020-06-19 00:00:00+00:00	455
2020-06-20 00:00:00+00:00	422
2020-06-21 00:00:00+00:00	382
2020-06-22 00:00:00+00:00	380
2020-06-23 00:00:00+00:00	397
2020-06-24 00:00:00+00:00	408
2020-06-25 00:00:00+00:00	370
2020-06-26 00:00:00+00:00	349
2020-06-27 00:00:00+00:00	464
2020-06-28 00:00:00+00:00	420
2020-06-29 00:00:00+00:00	456
2020-06-30 00:00:00+00:00	591
2020-07-01 00:00:00+00:00	742
2020-07-02 00:00:00+00:00	568
2020-07-03 00:00:00+00:00	436
2020-07-04 00:00:00+00:00	401
2020-07-05 00:00:00+00:00	474
2020-07-06 00:00:00+00:00	592
2020-07-07 00:00:00+00:00	461
2020-07-08 00:00:00+00:00	403
2020-07-09 00:00:00+00:00	389
2020-07-10 00:00:00+00:00	400
2020-07-11 00:00:00+00:00	366
2020-07-12 00:00:00+00:00	355
2020-07-13 00:00:00+00:00	348
2020-07-14 00:00:00+00:00	556
2020-07-15 00:00:00+00:00	550
2020-07-16 00:00:00+00:00	409
2020-07-17 00:00:00+00:00	429
2020-07-18 00:00:00+00:00	415
2020-07-19 00:00:00+00:00	566
2020-07-20 00:00:00+00:00	473
2020-07-21 00:00:00+00:00	412
2020-07-22 00:00:00+00:00	447
2020-07-23 00:00:00+00:00	449
2020-07-24 00:00:00+00:00	424
2020-07-25 00:00:00+00:00	393
2020-07-26 00:00:00+00:00	347
2020-07-27 00:00:00+00:00	346
2020-07-28 00:00:00+00:00	342
2020-07-29 00:00:00+00:00	360
2020-07-30 00:00:00+00:00	378
2020-07-31 00:00:00+00:00	404
2020-08-01 00:00:00+00:00	357
2020-08-02 00:00:00+00:00	299
2020-08-03 00:00:00+00:00	328
2020-08-04 00:00:00+00:00	348
2020-08-05 00:00:00+00:00	357
2020-08-06 00:00:00+00:00	390
2020-08-07 00:00:00+00:00	410
2020-08-08 00:00:00+00:00	376
2020-08-09 00:00:00+00:00	378
2020-08-10 00:00:00+00:00	348
2020-08-11 00:00:00+00:00	379
2020-08-12 00:00:00+00:00	384
2020-08-13 00:00:00+00:00	342
2020-08-14 00:00:00+00:00	324
2020-08-15 00:00:00+00:00	692
2020-08-16 00:00:00+00:00	381
2020-08-17 00:00:00+00:00	400
2020-08-18 00:00:00+00:00	330
